Player,Year,Team, Salary 
Tyrone Nesby,2001,Washington Wizards,"  2,990,000 "
Chris Whitney,2001,Washington Wizards,"  2,370,000 "
Michael Smith,2001,Washington Wizards,"  2,200,000 "
Richard Hamilton,2001,Washington Wizards,"  1,973,880 "
Lorenzo Williams,2001,Washington Wizards,"  1,750,000 "
Dennis Scott,2001,Washington Wizards,"  1,200,000 "
Felipe Lopez,2001,Washington Wizards,"  831,120 "
Laron Profit,2001,Washington Wizards,"  508,000 "
Gerard King,2001,Washington Wizards,"  489,500 "
Calvin Booth,2001,Washington Wizards,"  423,500 "
Obinna Ekezie,2001,Washington Wizards,"  423,500 "
Mike Smith,2001,Washington Wizards,"  316,969 "
Tim Thomas,2001,Milwaukee Bucks,"  8,510,000 "
Popeye Jones,2001,Washington Wizards,"  2,812,500 "
Greg Anthony,2001,Portland Trailblazers,"  3,500,000 "
Stromile Swift,2001,Vancouver Grizzlies,"  3,164,280 "
Doug West,2001,Vancouver Grizzlies,"  3,680,000 "
Dell Curry,2001,Toronto Raptors,"  2,000,000 "
Muggsy Bogues,2001,Toronto Raptors,"  1,740,000 "
Aleksandar Radojevic,2001,Toronto Raptors,"  1,425,120 "
Tyrone Corbin,2001,Toronto Raptors,"  1,000,000 "
Morris Peterson,2001,Toronto Raptors,"  898,560 "
Vladimir Stepania,2001,Toronto Raptors,"  749,160 "
Kornel David,2001,Toronto Raptors,"  498,500 "
Garth Joseph,2001,Toronto Raptors,"  316,969 "
Karl Malone,2001,Utah Jazz,"  15,750,000 "
John Stockton,2001,Utah Jazz,"  11,000,000 "
Donyell Marshall,2001,Utah Jazz,"  5,630,000 "
Greg Ostertag,2001,Utah Jazz,"  5,200,000 "
Mike Bibby,2001,Vancouver Grizzlies,"  3,308,160 "
Bryon Russell,2001,Utah Jazz,"  4,570,000 "
Olden Polynice,2001,Utah Jazz,"  2,200,000 "
Jacque Vaughn,2001,Utah Jazz,"  1,500,000 "
Danny Manning,2001,Utah Jazz,"  1,200,000 "
Quincy Lewis,2001,Utah Jazz,"  1,000,440 "
DeShawn Stevenson,2001,Utah Jazz,"  828,120 "
John Crotty,2001,Utah Jazz,"  800,000 "
David Benoit,2001,Utah Jazz,"  736,000 "
Scott Padgett,2001,Utah Jazz,"  730,800 "
Bruno Sundov,2001,Utah Jazz,"  498,500 "
Shareef Abdur-Rahim,2001,Vancouver Grizzlies,"  10,130,000 "
Bryant Reeves,2001,Vancouver Grizzlies,"  10,110,000 "
Isaac Austin,2001,Vancouver Grizzlies,"  5,500,000 "
John Starks,2001,Utah Jazz,"  2,250,000 "
Dale Davis,2001,Portland Trailblazers,"  6,000,000 "
Michael Ruffin,2001,Chicago Bulls,"  440,000 "
Damon Stoudamire,2001,Portland Trailblazers,"  11,250,000 "
Stephon Marbury,2001,New Jersey Nets,"  10,130,000 "
Keith Van Horn,2001,New Jersey Nets,"  9,000,000 "
Kerry Kittles,2001,New Jersey Nets,"  7,770,000 "
Kendall Gill,2001,New Jersey Nets,"  7,000,000 "
Jim McIlvaine,2001,New Jersey Nets,"  5,400,000 "
Kenyon Martin,2001,New Jersey Nets,"  3,536,640 "
Aaron Williams,2001,New Jersey Nets,"  2,250,000 "
